ID	Treatment	Trial	Sprint	Time
sc17	Control	Sf2	93	post
sc18	Endurance	Sf2	75	post
sc19	Sprint	Sf2	98	post
sc20	Control	Sf2	95	post
sc21	Control	Sf2	83	post
sc22	Endurance	Sf2	92	post
sc23	Endurance	Sf2	95	post
sc24	Endurance	Sf2	81	post
sc25	Sprint	Sf2	103	post
sc26	Control	Sf2	75	post
sc27	Sprint	Sf2	83	post
sc28	Sprint	Sf2	91	post
sc29	Sprint	Sf2	104	post
sc30	Endurance	Sf2	91	post
sc31	Endurance	Sf2	86	post
sc32	Endurance	Sf2	84	post
sc33	Sprint	Sf2	93	post
sc34	Control	Sf2	80	post
sc35	Sprint	Sf2	100	post
sc36	Sprint	Sf2	82	post
sc01	Endurance	Sf3	89	post
sc02	Sprint	Sf3	96	post
sc03	Endurance	Sf3	76	post
sc04	Sprint	Sf3	89	post
sc05	Endurance	Sf3	84	post
sc06	Endurance	Sf3	75	post
sc07	Control	Sf3	78	post
sc08	Sprint	Sf3	100	post
sc09	Control	Sf3	82	post
sc10	Control	Sf3	82	post
sc11	Control	Sf3	90	post
sc12	Control	Sf3	80	post
sc13	Endurance	Sf3	87	post
sc14	Control	Sf3	82	post
sc15	Control	Sf3	80	post
sc16	Sprint	Sf3	97	post
sc17	Control	Sf3	103	post
sc18	Endurance	Sf3	74	post
sc19	Sprint	Sf3	94	post
sc20	Control	Sf3	92	post
sc21	Control	Sf3	88	post
sc22	Endurance	Sf3	92	post
sc23	Endurance	Sf3	83	post
sc24	Endurance	Sf3	89	post
sc25	Sprint	Sf3	106	post
sc26	Control	Sf3	81	post
sc27	Sprint	Sf3	84	post
sc28	Sprint	Sf3	91	post
sc29	Sprint	Sf3	87	post
sc30	Endurance	Sf3	92	post
sc31	Endurance	Sf3	88	post
sc32	Endurance	Sf3	95	post
sc33	Sprint	Sf3	100	post
sc34	Control	Sf3	87	post
sc35	Sprint	Sf3	107	post
sc36	Sprint	Sf3	96	post
